OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
216,7923342,ROUTE NOT FOUND,0.00,0.00,0.00,3/17/2004
217,8516005,NO ERROR,-86.87,36.10,10.97,12/28/2003
218,7525253,NO ERROR,-89.96,35.15,8.01,6/28/2003
219,8328543,ROUTE NOT FOUND,0.00,0.00,0.00,7/22/2003
220,7458888,ROUTE NOT FOUND,0.00,0.00,0.00,10/19/2003
221,7288204,NO ERROR,-82.11,36.11,0.40,6/12/2004
222,8671569,ROUTE NOT FOUND,0.00,0.00,0.00,5/16/2003
223,8224464,ROUTE NOT FOUND,0.00,0.00,0.00,4/21/2003
224,8218798,NO ERROR,-86.72,36.05,5.06,8/22/2003
225,7882218,ROUTE NOT FOUND,0.00,0.00,0.00,6/4/2003
226,8132473,ROUTE NOT FOUND,0.00,0.00,0.00,11/8/2003
227,7979542,NO ERROR,-84.07,35.86,6.48,4/9/2004
228,8384386,ROUTE NOT FOUND,0.00,0.00,0.00,8/4/2003
229,8095212,ROUTE NOT FOUND,0.00,0.00,0.00,7/13/2004
230,7254801,ROUTE NOT FOUND,0.00,0.00,0.00,8/7/2003
231,8098841,ROUTE NOT FOUND,0.00,0.00,0.00,8/13/2003
232,7906424,ROUTE NOT FOUND,0.00,0.00,0.00,1/25/2004
233,8733581,NO ERROR,-86.40,35.78,9.15,3/31/2003
234,8509276,ROUTE NOT FOUND,0.00,0.00,0.00,2/23/2003
235,8310499,NO ERROR,-89.95,35.13,3.07,7/18/2003
236,7327975,NO ERROR,-84.00,35.56,14.00,10/12/2003
237,8784733,NO ERROR,-89.52,35.23,7.04,11/22/2003
238,8200636,ROUTE NOT FOUND,0.00,0.00,0.00,10/9/2003
239,7508462,ROUTE NOT FOUND,0.00,0.00,0.00,9/18/2003
240,8318657,ROUTE NOT FOUND,0.00,0.00,0.00,4/11/2003
241,7418472,ROUTE NOT FOUND,0.00,0.00,0.00,7/8/2003
242,8801842,NO ERROR,-90.06,35.10,9.19,5/30/2003
243,8615791,ROUTE NOT FOUND,0.00,0.00,0.00,8/3/2003
244,8209687,NO ERROR,-83.57,35.86,28.41,9/7/2003
245,7820795,ROUTE NOT FOUND,0.00,0.00,0.00,7/2/2003
246,7977914,ROUTE NOT FOUND,0.00,0.00,0.00,10/8/2004
247,8359752,ROUTE NOT FOUND,0.00,0.00,0.00,9/2/2003
248,8070695,ROUTE NOT FOUND,0.00,0.00,0.00,6/12/2004
249,7208004,NO ERROR,-86.71,36.43,1.00,8/29/2003
250,8094608,ROUTE NOT FOUND,0.00,0.00,0.00,7/14/2003
251,7771761,ROUTE NOT FOUND,0.00,0.00,0.00,8/21/2004
252,8720283,NO ERROR,-90.02,35.14,0.58,3/1/2003
253,8506329,ROUTE NOT FOUND,0.00,0.00,0.00,4/2/2003
254,8291991,NO ERROR,-90.03,35.14,10.48,7/1/2003
255,8764908,ROUTE NOT FOUND,0.00,0.00,0.00,3/15/2003
256,8197236,ROUTE NOT FOUND,0.00,0.00,0.00,8/6/2003
257,8034255,ROUTE NOT FOUND,0.00,0.00,0.00,3/8/2004
258,7728238,ROUTE NOT FOUND,0.00,0.00,0.00,7/1/2003
259,8450010,ROUTE NOT FOUND,0.00,0.00,0.00,9/12/2003
260,8162855,ROUTE NOT FOUND,0.00,0.00,0.00,4/4/2004
261,7952440,ROUTE NOT FOUND,0.00,0.00,0.00,4/19/2004
262,8539555,ROUTE NOT FOUND,0.00,0.00,0.00,8/19/2003
263,7660017,ROUTE NOT FOUND,0.00,0.00,0.00,5/10/2003
264,7795467,ROUTE NOT FOUND,0.00,0.00,0.00,7/24/2003
265,8452452,ROUTE NOT FOUND,0.00,0.00,0.00,6/30/2003
266,7960618,ROUTE NOT FOUND,0.00,0.00,0.00,1/8/2004
267,7690050,ROUTE NOT FOUND,0.00,0.00,0.00,11/21/2003
268,8342919,ROUTE NOT FOUND,0.00,0.00,0.00,6/27/2003
269,7658388,NO ERROR,-85.25,35.19,10.73,11/22/2004
270,8058605,NO ERROR,-87.40,36.56,18.14,3/16/2004
271,8081272,ROUTE NOT FOUND,0.00,0.00,0.00,8/9/2003
272,7689617,ROUTE NOT FOUND,0.00,0.00,0.00,4/24/2004
273,8705278,ROUTE NOT FOUND,0.00,0.00,0.00,6/27/2003
274,8465267,ROUTE NOT FOUND,0.00,0.00,0.00,8/12/2003
275,8271432,ROUTE NOT FOUND,0.00,0.00,0.00,11/1/2003
276,8749301,ROUTE NOT FOUND,0.00,0.00,0.00,6/24/2003
277,8012091,ROUTE NOT FOUND,0.00,0.00,0.00,8/9/2003
278,8154326,ROUTE NOT FOUND,0.00,0.00,0.00,11/14/2003
279,8015641,ROUTE NOT FOUND,0.00,0.00,0.00,8/14/2004
280,7705432,ROUTE NOT FOUND,0.00,0.00,0.00,6/20/2003
281,8439463,ROUTE NOT FOUND,0.00,0.00,0.00,5/9/2003
282,8152750,ROUTE NOT FOUND,0.00,0.00,0.00,2/10/2004
283,8116431,NO ERROR,-83.94,35.95,17.72,9/2/2003
284,7934809,NO ERROR,-86.96,36.63,8.11,9/11/2004
285,8517112,NO ERROR,-86.80,36.18,1.38,9/3/2003
286,7612498,NO ERROR,-88.80,35.62,16.99,3/7/2003
287,7493182,NO ERROR,-90.01,35.14,0.66,9/9/2003
288,7437821,ROUTE NOT FOUND,0.00,0.00,0.00,7/3/2004
289,8021478,ROUTE NOT FOUND,0.00,0.00,0.00,2/4/2003
290,8674293,ROUTE NOT FOUND,0.00,0.00,0.00,9/28/2003
291,8228132,ROUTE NOT FOUND,0.00,0.00,0.00,6/12/2003
292,7895642,ROUTE NOT FOUND,0.00,0.00,0.00,3/10/2003
293,7531559,ROUTE NOT FOUND,0.00,0.00,0.00,9/13/2004
294,8030791,ROUTE NOT FOUND,0.00,0.00,0.00,3/29/2003
295,7672979,ROUTE NOT FOUND,0.00,0.00,0.00,7/12/2004
296,8701477,ROUTE NOT FOUND,0.00,0.00,0.00,6/21/2003
297,8250781,ROUTE NOT FOUND,0.00,0.00,0.00,9/8/2003
298,7955904,ROUTE NOT FOUND,0.00,0.00,0.00,8/9/2003
299,8144871,ROUTE NOT FOUND,0.00,0.00,0.00,3/16/2003
300,7998153,NO ERROR,-86.88,35.94,15.93,5/10/2004
301,8416903,NO ERROR,-89.15,35.33,2.60,11/27/2003
302,8123067,ROUTE NOT FOUND,0.00,0.00,0.00,8/2/2004
303,8109473,ROUTE NOT FOUND,0.00,0.00,0.00,8/12/2003
304,7922648,ROUTE NOT FOUND,0.00,0.00,0.00,2/21/2004
305,8513999,ROUTE NOT FOUND,0.00,0.00,0.00,4/23/2003
306,7514381,ROUTE NOT FOUND,0.00,0.00,0.00,7/10/2003
307,8328166,NO ERROR,-87.31,36.57,23.90,8/27/2003
308,7457189,NO ERROR,-90.03,35.01,0.83,9/30/2003
309,8859367,ROUTE NOT FOUND,0.00,0.00,0.00,7/19/2003
310,8621114,ROUTE NOT FOUND,0.00,0.00,0.00,10/12/2003
311,8222171,ROUTE NOT FOUND,0.00,0.00,0.00,7/26/2003
312,8213188,ROUTE NOT FOUND,0.00,0.00,0.00,6/27/2003
313,7875819,ROUTE NOT FOUND,0.00,0.00,0.00,8/31/2003
314,7978820,NO ERROR,-83.97,35.95,16.12,4/5/2004
315,8142279,NO ERROR,-86.80,36.15,16.68,3/22/2003
316,7987499,ROUTE NOT FOUND,0.00,0.00,0.00,7/27/2004
317,8392601,NO ERROR,-86.66,36.31,0.34,9/18/2003
318,8101165,ROUTE NOT FOUND,0.00,0.00,0.00,10/9/2004
319,8103127,ROUTE NOT FOUND,0.00,0.00,0.00,7/24/2003
320,7919701,ROUTE NOT FOUND,0.00,0.00,0.00,1/9/2004
321,8745354,NO ERROR,-88.55,35.70,3.32,12/24/2003
322,8511313,ROUTE NOT FOUND,0.00,0.00,0.00,4/3/2003
323,7502408,ROUTE NOT FOUND,0.00,0.00,0.00,8/5/2003
324,8312126,NO ERROR,-90.06,35.06,6.26,1/27/2003
325,7392896,NO ERROR,-86.13,36.39,14.35,8/18/2003
326,8796536,ROUTE NOT FOUND,0.00,0.00,0.00,3/22/2003
327,8613795,NO ERROR,-84.53,36.05,6.20,7/30/2003
328,8207371,ROUTE NOT FOUND,0.00,0.00,0.00,6/30/2003
329,7803002,ROUTE NOT FOUND,0.00,0.00,0.00,1/26/2003
330,7965662,ROUTE NOT FOUND,0.00,0.00,0.00,9/1/2004
331,8345213,ROUTE NOT FOUND,0.00,0.00,0.00,10/2/2003
332,8061827,ROUTE NOT FOUND,0.00,0.00,0.00,12/29/2004
333,8092017,ROUTE NOT FOUND,0.00,0.00,0.00,6/9/2003
334,7730027,ROUTE NOT FOUND,0.00,0.00,0.00,10/30/2004
335,8714999,ROUTE NOT FOUND,0.00,0.00,0.00,7/9/2003
336,8504727,NO ERROR,-90.11,35.00,1.31,3/2/2003
337,8291202,ROUTE NOT FOUND,0.00,0.00,0.00,7/12/2003
338,8764060,NO ERROR,-82.41,36.15,0.50,7/28/2003
339,8377299,NO ERROR,-86.77,36.11,0.07,5/7/2003
340,8086955,NO ERROR,-88.38,35.55,3.63,1/26/2004
341,8097189,NO ERROR,-89.96,35.09,7.98,12/18/2003
342,7812070,ROUTE NOT FOUND,0.00,0.00,0.00,4/18/2004
343,8723301,ROUTE NOT FOUND,0.00,0.00,0.00,1/8/2003
344,8506918,ROUTE NOT FOUND,0.00,0.00,0.00,4/17/2003
345,8295480,ROUTE NOT FOUND,0.00,0.00,0.00,6/4/2003
346,8772470,ROUTE NOT FOUND,0.00,0.00,0.00,9/16/2003
347,8199213,NO ERROR,-85.20,35.08,5.17,5/15/2003
348,8042937,ROUTE NOT FOUND,0.00,0.00,0.00,4/18/2004
349,7777413,ROUTE NOT FOUND,0.00,0.00,0.00,3/20/2003
350,8451677,ROUTE NOT FOUND,0.00,0.00,0.00,5/28/2003
351,7952648,NO ERROR,-88.41,36.05,17.70,9/5/2004
352,8606108,NO ERROR,-83.57,35.84,26.56,8/21/2003
353,7674915,ROUTE NOT FOUND,0.00,0.00,0.00,5/27/2003
354,8335486,ROUTE NOT FOUND,0.00,0.00,0.00,4/24/2003
355,7632459,ROUTE NOT FOUND,0.00,0.00,0.00,8/23/2004
356,8051054,ROUTE NOT FOUND,0.00,0.00,0.00,10/5/2004
357,8060848,NO ERROR,-90.02,35.07,5.40,12/28/2003
358,7684068,NO ERROR,-85.11,35.00,6.34,2/8/2004
359,8704067,ROUTE NOT FOUND,0.00,0.00,0.00,8/1/2003
360,8458384,ROUTE NOT FOUND,0.00,0.00,0.00,8/4/2003
361,8266027,ROUTE NOT FOUND,0.00,0.00,0.00,12/12/2003
362,8748775,ROUTE NOT FOUND,0.00,0.00,0.00,6/23/2003
363,8007404,ROUTE NOT FOUND,0.00,0.00,0.00,7/1/2003
364,8148732,ROUTE NOT FOUND,0.00,0.00,0.00,3/16/2003
365,8000657,ROUTE NOT FOUND,0.00,0.00,0.00,9/2/2004
366,8430866,NO ERROR,-89.91,35.15,10.94,12/23/2003
367,8148819,NO ERROR,-86.81,36.11,5.12,5/29/2004
368,8195410,NO ERROR,-86.76,36.21,15.48,10/11/2003
369,8027592,NO ERROR,-86.46,35.48,10.31,1/31/2004
370,7710616,NO ERROR,-88.94,36.01,16.50,7/18/2003
371,8448245,ROUTE NOT FOUND,0.00,0.00,0.00,7/10/2003
372,8160123,NO ERROR,-82.37,36.32,16.99,10/22/2004
373,7945079,ROUTE NOT FOUND,0.00,0.00,0.00,8/4/2004
374,8532909,NO ERROR,-85.81,36.61,18.90,8/28/2003
375,7656362,ROUTE NOT FOUND,0.00,0.00,0.00,6/5/2003
376,7503045,ROUTE NOT FOUND,0.00,0.00,0.00,11/22/2004
377,8029599,ROUTE NOT FOUND,0.00,0.00,0.00,10/21/2003
378,7662740,ROUTE NOT FOUND,0.00,0.00,0.00,7/27/2004
379,8683228,NO ERROR,-86.33,35.53,21.77,8/31/2003
380,8250229,NO ERROR,-90.02,35.14,0.12,9/21/2003
381,7921504,ROUTE NOT FOUND,0.00,0.00,0.00,12/28/2003
