OBJECTID,casenumber,LOC_ERROR,lon,lat,POINT_M,year
229,8163176,ROUTE NOT FOUND,0.00,0.00,0.00,12/13/2003
230,8089752,ROUTE NOT FOUND,0.00,0.00,0.00,10/7/2003
231,7490550,ROUTE NOT FOUND,0.00,0.00,0.00,3/8/2003
232,8096719,NO ERROR,-89.96,35.19,8.29,9/14/2003
233,8133542,NO ERROR,-86.07,35.63,10.08,10/31/2003
234,7525558,NO ERROR,-90.03,35.15,4.03,9/11/2003
235,7711577,ROUTE NOT FOUND,0.00,0.00,0.00,1/20/2003
236,7964448,ROUTE NOT FOUND,0.00,0.00,0.00,8/12/2003
237,7875245,ROUTE NOT FOUND,0.00,0.00,0.00,7/29/2003
238,7656630,ROUTE NOT FOUND,0.00,0.00,0.00,7/22/2003
239,7504527,ROUTE NOT FOUND,0.00,0.00,0.00,7/10/2003
240,8113686,ROUTE NOT FOUND,0.00,0.00,0.00,2/1/2003
241,7956777,NO ERROR,-88.59,35.17,11.39,10/4/2003
242,7527079,NO ERROR,-90.03,35.01,1.37,5/12/2003
243,8103505,NO ERROR,-86.80,36.28,8.30,9/2/2003
244,8149129,ROUTE NOT FOUND,0.00,0.00,0.00,1/20/2003
245,8042740,NO ERROR,-88.05,35.39,1.82,11/5/2003
246,7425101,ROUTE NOT FOUND,0.00,0.00,0.00,2/17/2003
247,8020022,NO ERROR,-86.73,36.12,17.68,2/19/2003
248,7451970,ROUTE NOT FOUND,0.00,0.00,0.00,1/3/2003
249,8092826,ROUTE NOT FOUND,0.00,0.00,0.00,9/6/2003
250,8123330,NO ERROR,-89.93,35.19,19.53,5/24/2003
251,7248039,NO ERROR,-82.92,36.25,25.08,4/30/2003
252,7521667,ROUTE NOT FOUND,0.00,0.00,0.00,3/14/2003
253,8116431,NO ERROR,-83.94,35.95,17.72,9/2/2003
254,7692106,ROUTE NOT FOUND,0.00,0.00,0.00,12/18/2003
255,7960726,ROUTE NOT FOUND,0.00,0.00,0.00,8/28/2003
256,7818493,NO ERROR,-88.81,35.57,9.48,6/4/2003
257,7573711,ROUTE NOT FOUND,0.00,0.00,0.00,9/20/2003
258,8129602,ROUTE NOT FOUND,0.00,0.00,0.00,2/6/2003
259,7257573,ROUTE NOT FOUND,0.00,0.00,0.00,3/11/2003
260,7523398,NO ERROR,-90.04,35.14,11.17,2/24/2003
261,8118949,NO ERROR,-83.70,36.00,33.54,8/15/2003
262,7704763,NO ERROR,-86.72,36.08,3.27,4/22/2003
